id;start_date;end_date;language
1;2020-08-29T10:17:11;2020-08-29T08:07:26;SPANISH
2;2020-08-28T15:07:22;2020-08-29T10:11:47;SPANISH
3;2020-08-29T06:02:41;2020-08-28T16:36:50;FRENCH
4;2020-08-28T21:20:12;2020-08-29T08:51:38;FRENCH
5;2020-08-29T06:50:30;2020-08-29T11:37:29;FRENCH
6;2020-08-29T00:42:51;2020-08-29T12:51:05;FRENCH
7;2020-08-29T02:28:11;2020-08-28T20:19:02;FRENCH
8;2020-08-29T01:24:24;2020-08-29T11:40:32;SPANISH
9;2020-08-29T00:05:33;2020-08-28T20:46:56;SPANISH
10;2020-08-29T08:17:37;2020-08-28T18:52:07;SPANISH
